Code,Item #,Type #,Type,English,Japanese,Alt,Spanish,French,German,Italian
4E39,25,1,Swords,Erdrick's sword,ロトのつるぎ,,Espada de Erdrick,Épée d'Elric,Erdrickschwert,Lama di Erdrick
4E3A,26,1,Swords,Stardust sword,ほしくずのつるぎ,,Espada sideral,Épée nébuleuse,Sternenstaub-schwert,Spada delle stelle
4E3B,27,1,Swords,Nebula sword,りゅうせいのつるぎ,,Espada nebulosa,Épée stellaire,Nebelschwert,Spada Nebula
4E3C,28,1,Swords,Supernova sword,すいせいのつるぎ,,Espada supernova,Épée galactique,Supernovaschwert,Spada Supernova
4E3D,29,1,Swords,Hypernova sword,ぎんがのつるぎ,,Espada hipernova,Épée cosmique,Hypernovaschwert,Spada Hypernova
5014,30,2,Spears,Bamboo lance,たけやり,,Lanza de bambú,Lance de bambou,Bambuslanze,Asta di bambù
5017,31,2,Spears,Iron lance,てつのやり,,Lanza de hierro,Lance de fer,Eisenlanze,Lancia di ferro
5018,32,2,Spears,Steel lance,はがねのやり,,Lanza de acero,Lance d'acier,Stahllanze,Giavellotto d'acciaio
5019,33,2,Spears,Gigasteel lance,たまはがねのやり,,Lanza de gigacero,Lance de trempacier,Gigastahllanze,Lancia Inox
501A,34,2,Spears,Long spear,ロングスピア,,Lanza larga,Grande lance,Langspeer,Lancia lunga
5015,35,2,Spears,Celestial spear,ディバインスピア,,Lanza celestial,Lance céleste,Himmlischer Speer,Lancia del cielo
501B,36,2,Spears,Holy lance,ホーリーランス,,Lanza sagrada,Lance sacrée,Heilige Lanze,Lancia sacra
501C,37,2,Spears,Battle fork,バトルフォーク,,Tridente de guerra,Fourche de combat,Kampfgabel,Forcone da battaglia
501D,38,2,Spears,Trident,トライデント,,Tridente,Trident,Dreizack,Tridente
501E,39,2,Spears,Gracos's trident,グラコスのやり,,Tridente de Gracos,Trident de Gracos,Gracosdreizack,Tridente di Gracos
501F,40,2,Spears,Sandstorm spear,さじんのやり,,Lanza de torbellino,Lance des sables,Sandsturmspeer,Sandstorm
5016,41,2,Spears,Partisan,パルチザン,,Lanza bélica,Pertuisane,Partisane,Partigiana
5020,42,2,Spears,Halberd,ハルベルト,,Alabarda,Hallebarde,Hellebarde,Alabarda
5021,43,2,Spears,Lightning lance,いなずまのやり,,Lanza del rayo,Lance de foudre,Blitzlanze,Giavellotto del lampo
5022,44,2,Spears,Storm spear,らいじんのやり,,Lanza tormentosa,Lance des tempêtes,Sturmspeer,Lancia delle tempeste
5023,45,2,Spears,Demon spear,デーモンスピア,,Lanza demoníaca,Lance de démon,Dämonenspeer,Lancia demoniaca
5024,46,2,Spears,Hero spear,えいゆうのやり,えいゆうの槍,Lanza de héroe,Lance de héros,Heldenspeer,Lancia dell'eroe
5025,47,2,Spears,Metal slime spear,メタスラのやり,メタスラの槍,Lanza limometálica,Lance de gluant de métal,Metallschleimspeer,Lancia dello Slime grigio
5026,48,2,Spears,Liquid metal spear,はぐれメタルのやり,,Lanza metalíquida,Lance de mercure,Flüssigmetallspeer,Lancia del Liquislime
5027,49,2,Spears,Metal king spear,メタルキングのやり,,Lanza real metálica,Lance royale,Metallkönigspeer,Lancia del Re Slime grigio
5028,50,2,Spears,Poker,きしんのまそう,,Lanza mus,Peurtuisane,Schüreisen,Lancia di Lucifero
5029,51,2,Spears,Stud poker,らせつのまそう,,Lanza juego,Supertuisane,Stecheisen,Giavellotto di Astaroth
502A,52,2,Spears,Split-pot poker,えんまのまそう,,Lanza envite,Hypertuisane,Teufelseisen,Punta di Inferios
502B,53,2,Spears,Red-hot poker,じごくのまそう,地獄のまそう,Lanza órdago,Étripertuisane,Heißes Eisen,Lancia di Demonias
4A6A,54,3,Knives,Paring knife,くだものナイフ,果物ナイフ,Cuchillo patatero,Couteau de cuisine,Schälmesser,Pelapatate da guerra
4A6B,55,3,Knives,Bronze knife,ブロンズナイフ,,Gladius de bronce,Poignard de bronze,Bronzemesser,Coltello di bronzo
4A6C,56,3,Knives,Divine dagger,聖なるナイフ,,Daga divina,Dague divine,Göttlicher Dolch,Daga divina
4A6D,57,3,Knives,Poison moth knife,どくがのナイフ,,Puñal envenenado,Poignard empoisonné,Giftmottenmesser,Falena velenosa
4A6E,58,3,Knives,Batterfly knife,バタフライダガー,,Puñal chafaposa,Poignard de peurpillon,Zerschmetterlings-dolch,Falena acuminata
4A6F,59,3,Knives,Dread dagger,よるのパピヨン,,Daga aterradora,Dague de papilon,Schreckensdolch,Lama della morte
4A71,60,3,Knives,Poison needle,どくばり,,Púa venenosa,Aiguille empoisonnée,Giftnadel,Pungiglione
4A75,61,3,Knives,Deadly nightblade,シーブスナイフ,,Hoja oscura mortífera,Ombrelame,Diebesdolch,Lama della notte
4A78,62,3,Knives,Falcon knife earring,キラーピアス,,Pendiente letal,Dague d'oreille,Falkenohrring,Orecchino del falco
4A72,63,3,Knives,Assassin's dagger,アサシンダガー,,Daga de asesino,Dague d'assassin,Meucheldolch,Daga del sicario
4A73,64,3,Knives,Icicle dirk,こおりのやいば,,Puñal gélido,Dague de glace,Eiszapfendolch,Stiletto di ghiaccio
4A74,65,3,Knives,Fenrir fang,フェンリルのキバ,,Colmillo de Fenrir,Croc de Fenrir,Fenriszahn,Artiglio gelido
4A76,66,3,Knives,Sword breaker,ソードブレイカー,,Rompeespadas,Brise-sabre,Schwertbrecher,Spaccalame
4A77,67,3,Knives,Soul breaker,ソウルブレイカー,,Rompealmas,Brise-âme,Seelenbrecher,Demoralama
4A79,68,3,Knives,Gladius,グラディウス,,Gladius,Gladius,Gladius,Gladio
4A7A,69,3,Knives,Flame tang,サラマンダー,,Espiga flamígera,Flammèche,Flammenzahn,Salamandra infuocata
4A7B,70,3,Knives,Pruning knife,こがらしのダガー,,Cuchillo de poda,Serpette,Baummesser,Roncola gelida
4A7C,71,3,Knives,Deft dagger,サウザンドダガー,,Daga diestra,Dague d'adresse,Flinker Dolch,Gladio sonico
4A7D,72,3,Knives,Darting dagger,ミリオンダガー,,Daga veloz,Dague dard,Flotter Dolch,Daga rapida
4A7E,73,3,Knives,Dashing dagger,ビリオンダガー,,Daga rápida,Dague filante,Flitzedolch,Lamavelox
4A7F,74,3,Knives,Dynamo dagger,トリリオンダガー,,Daga dinamo,Dague fulgurante,Dynamodolch,Gladio Dynamo
4FB3,75,4,Wands,Oak staff,かしの杖,,Báculo de roble,Bâton de chêne,Eichenstab,Ramo di quercia
500E,76,4,Wands,Wizard's staff,まどうしの杖,,Báculo de mago,Bâton de sorcier,Zaubererstab,Bastone del mago
4FB4,77,4,Wands,Staff of sentencing,さばきの杖,,Báculo de justicia,Bâton du Jugement,Stab der Strafe,Bastone del giudizio
4FB5,78,4,Wands,Staff of divine wrath,てんばつの杖,,Báculo de ira divina,Bâton du Courroux,Stab des Gotteszorns,Dies irae
4FB6,79,4,Wands,Stolos' staff,ストロスの杖,,Báculo de Stolas,Bâton de Stolos,Stolosstab,Bacchetta di Stolos
4FB8,80,4,Wands,Watermaul wand,うみなりの杖,,Báculo de ola,Bâton du déluge,Schwallstab,Marea incantata
4FB9,81,4,Wands,Tsunami staff,わだつみの杖,,Báculo de tsunami,Bâton tsunami,Tsunamistab,Bastone di Nettuno
500F,82,4,Wands,Lightning staff,いかずちの杖,,Báculo de luz,Bâton de foudre,Blitzstab,Bastone del fulmine
4FB7,83,4,Wands,Lightning conductor,らいていの杖,,Conductor del rayo,Bâton paratonnerre,Blitzableiter,Bacchetta elettrica
5010,84,4,Wands,Magma staff,マグマの杖,,Báculo de magma,Bâton de lave,Magmastab,Bastone di magma
4FC3,85,4,Wands,Faerie staff,ようせいの杖,,Báculo de hada,Bâton de fée,Feenstab,Ramo fatato
4FB2,86,4,Wands,Brouhaha boomstick,まてきの杖,,Palo de la bruja,Bâton du tumulte,Schockstab,Bacchetta dell'urlo
4FBA,87,4,Wands,Rune staff,ルーンスタッフ,,Báculo rúnico,Bâton runique,Runenstab,Bastone runico
4FB0,88,4,Wands,Hieroglyph staff,ウィザードスタッフ,,Báculo jeroglífico,Bâton futhark,Hieroglyphenstab,Mazza del mistero
500D,89,4,Wands,Magical mace,マジカルメイス,,Maza mágica,Masse magique,Zauber-streitkolben,Verga del sortilegio
4FBB,90,4,Wands,Mega-magical mace,ミラクルメイス,,Báculo megamágico,Masse mégamagique,Mega-Zauber-streitkolben,Bacchetta immaginifica
4FBC,91,4,Wands,Sceptre of Gitt,ガナンのおうしゃく,,Cetro von Tropp,Sceptre de Klenfer,Großbrutalien-zepter,Scettro di Dimun
4FB1,92,4,Wands,Sage's staff,けんじゃの杖,,Báculo de sabio,Bâton du sage,Stab des Weisen,Bastone del saggio
4FBD,93,4,Wands,Savant's staff,大けんじゃの杖,,Báculo de erudito,Bâton de l'érudit,Salomonstab,Verga dell'illuminazione
4FBE,94,4,Wands,Wyrmwand,ドラゴンの杖,,Báculo de guiverno,Dracobâton,Wyrmstab,Serpentyne
4FBF,95,4,Wands,Bright staff,ひかりの杖,,Báculo brillante,Bâton lumineux,Heller Stab,Scintilla ardente
4FC0,96,4,Wands,Shining staff,かがやきの杖,,Báculo reluciente,Bâton brillant,Leuchtender Stab,Bastone della luce
4FC1,97,4,Wands,Brilliant staff,せんこうの杖,,Báculo deslumbrante,Bâton éclatant,Strahlender Stab,Bastone brillante
4FC2,98,4,Wands,Aurora staff,オーロラの杖,,Báculo boreal,Bâton de l'aurore,Sonnenstab,Verga dell'aurora
4F4C,99,5,Whips,Leather whip,皮のムチ,,Látigo de cuero,Fouet de cuir,Lederpeitsche,Frusta di cuoio
4F4D,100,5,Whips,Thorn whip,いばらのムチ,,Látigo espinoso,Fouet d'épines,Dornenpeitsche,Frusta di spine
4F4E,101,5,Whips,Battle whip,バトルリボン,,Azote,Fouet de combat,Kampfpeitsche,Frusta da guerra
4F4F,102,5,Whips,Snakeskin whip,へびがわのムチ,,Látigo de ofidio,Fouet du Serpent,Schlangenpeitsche,Frusta Pyton
4F50,103,5,Whips,Serpentine whip,だいじゃのムチ,,Látigo serpentino,Fouet reptilien,Pythonpeitsche,Frusta Anaconda
4F51,104,5,Whips,Sidewinder,サイドワインダー,,Flagelo,Claque-vent,Vipernriemen,Frusta Krotalo
4F52,105,5,Whips,Chain whip,チェーンクロス,,Látigo de cadena,Fouet de chaîne,Kettenpeitsche,Frusta di ferro
4F53,106,5,Whips,Iron whip,てつのムチ,,Látigo de hierro,Fouet de fer,Eisenpeitsche,Metalfrusta
4F54,107,5,Whips,Spiked steel whip,はがねのムチ,,Látigo de acero,Fouet d'acier,Stahlstachel-peitsche,Frusta d'acciaio
4F55,108,5,Whips,Gigaspike whip,たまはがねのムチ,,Látigo gigapunzante,Gigafouet d'acier,Gigastachel-peitsche,Megafrusta Inox
4F56,109,5,Whips,Dragontail whip,ドラゴンテイル,,Látigo dragoniano,Fouet du Dragon,Drachenpeitsche,Coda di drago
4F57,110,5,Whips,Demon whip,あくまのムチ,,Látigo demoníaco,Fouet de démon,Dämonenpeitsche,Frusta del demonio
4F58,111,5,Whips,Archdemon whip,だいあくまのムチ,,Látigo archidemoníaco,Fouet d'archidémon,Erzdämonen-peitsche,Coda infernale
4F59,112,5,Whips,Scourge whip,バスターウィップ,,Látigo flagelador,Fouet de discipline,Geißel,Frusta dentata
4F5A,113,5,Whips,Queen's whip,女王のムチ,,Látigo de reina,Fouet de reine,Königinnen-peitsche,Frusta della regina
4F5B,114,5,Whips,Empress's whip,女帝のムチ,,Látigo de emperatriz,Fouet d'impératrice,Kaiserinnen-peitsche,Flagello dell'imperatrice
4F5C,115,5,Whips,Goddess whip,女神のムチ,,Látigo de diosa,Fouet de la Déesse,Göttinnenpeitsche,Coda della dea
4F5D,116,5,Whips,Wizardly whip,カルベロビュート,,Magilátigo,Fouet ensorcelé,Magierpeitsche,Frusta stregata
4F5E,117,5,Whips,Gringham whip,グリンガムのムチ,,Látigo de Gringham,Fouet de Gringham,Gringham-Peitsche,Frusta Gringham
4F5F,118,5,Whips,Mega Gringham whip,続グリンガムのムチ,,Megalátigo de Gringham,Mégafouet de Gringham,Mega-Gringham-Peitsche,Punizione di Gringham
4F60,119,5,Whips,Giga Gringham whip,真グリンガムのムチ,,Gigalátigo de Gringham,Gigafouet de Gringham,Giga-Gringham-Peitsche,Ira di Gringham
4F61,120,5,Whips,Über Gringham whip,超グリンガムのムチ,,Überlátigo de Gringham,Topfouet de Gringham,Über-Gringham-Peitsche,Flagello di Gringham
5078,121,6,Staves,Laundry pole,ものほしざお,,Palo de tendedero,Perche,Wäschestange,Palo acuminato
5079,122,6,Staves,Carrying pole,てんびんぼう,,Palo de transporte,Perche de transport,Tragestange,Bastone lungo
507A,123,6,Staves,Oaken pole,かしのこん,,Palo de roble,Battoir de chêne,Eichenholzstange,Randello nodoso
507B,124,6,Staves,Iron bar,てつのこん,,Barra de hierro,Barre de fer,Eisenstab,Sbarra di ferro
507C,125,6,Staves,Steel bar,はがねのこん,,Barra de acero,Barre d'acier,Stahlstab,Sbarra d'acciaio
507D,126,6,Staves,Gigasteel bar,たまはがねのこん,,Barra de gigacero,Barre de trempacier,Gigastahlstab,Sbarra Inox
507E,127,6,Staves,Pillar of strength,だいこくばしら,,Pilar de fuerza,Matraque de force,Kummerkeule,Colonna della forza
5081,128,6,Staves,Driller pillar,えんぶのこん,,Pilar perforante,Jô d'entraînement,Tanzstange,Asta sottile
5082,129,6,Staves,Killer pillar,ぶしんのこん,,Pilar asesino,Jô de combat,Kampfstange,Mazza omicida
507F,130,6,Staves,Sleepy stick,まどろみのこん,,Palitroque adormecedor,Baguette de somnolence,Schlummerstock,Mazza del sonno
5080,131,6,Staves,Slumber stick,ゆめみのこん,,Palitroque de sueño,Baguette de léthargie,Schlafstock,Verga Ronf
5083,132,6,Staves,Mistick,レイニーロッド,,Palitroque místico,Bâton de pluie,Nebelstock,Mazza mistica
5084,133,6,Staves,Optimistick,スコールロッド,,Palitroque de ánimo,Bâton de grand vent,Dusterstock,Bastone Optimus
5085,134,6,Staves,Ballistick,テンペストロッド,,Palitroque arrojadizo,Bâton de tempête,Finsterstock,Bastone Pessimus
5086,135,6,Staves,Sadistick,ろうがぼう,,Palitroque sádico,Massue d'armes,Stachelstock,Bastone della cattiveria
5087,136,6,Staves,Dragon rod,ドラゴンロッド,,Vara de dragón,Baguette du Dragon,Drachenstab,Osso di drago
5088,137,6,Staves,Xenlon rod,シェンロンロッド,,Vara de Xenlon,Baguette de Xenlon,Xenlonstab,Mazza di Xenlon
5089,138,6,Staves,Orichalcudgel,オリハルこん,,Vara de oricalco,Gourdin d'orichalque,Orichalkumkeule,Mazza d'orichalcum
508A,139,6,Staves,Knockout rod,しゅらのこん,,Vara K. o.,Assommoir,Schwerenot-Stock,Bastone del KO
508B,140,6,Staves,Senseless stick,みょうおうのこん,,Vara inconsciente,Gourdin de KO,Nirvanastock,Stenditutti
508C,141,6,Staves,Catatonic cosh,ぼさつのこん,,Porra catatónica,Matraque catatonique,Katatonieknüppel,Inconscius
508D,142,6,Staves,Coma cudgel,にょらいのこん,如来のこん,Cachiporra comatosa,Matracoma,Komaknüppel,Bastone del coma
5140,143,7,Claws,Stone claws,いしのツメ,,Garras pétreas,Griffes de pierre,Steinklauen,Artigli di pietra
5141,144,7,Claws,Iron claws,てつのツメ,,Garras de hierro,Griffes de fer,Eisenklauen,Artigli di ferro
5142,145,7,Claws,Steel claws,はがねのツメ,,Garras duras,Griffes d'acier,Stahlklauen,Artigli d'acciaio
5143,146,7,Claws,Gigasteel claws,たまはがねのツメ,,Garras de gigacero,Griffes de trempacier,Gigastahlklauen,Artigli Inox
5145,147,7,Claws,Razor claws,てっこうかぎ,,Garras afiladas,Griffes sabre,Scharfe Klauen,Artigli ninja
5144,148,7,Claws,Sacred claws,まよけのツメ,,Garras sacras,Griffes sacrées,Heilige Klauen,Artigli sacri
5146,149,7,Claws,Crow's claws,はやぶさのツメ,,Garras de cuervo,Serres de corbeau,Krähenkrallen,Artigli del corvo
5147,150,7,Claws,Kestrel claws,オオワシのツメ,,Garras de cernícalo,Serres de crécerelle,Habichtkrallen,Lame del nibbio
5148,151,7,Claws,Kite claws,ガルーダのツメ,,Garras de milano,Serres de milan,Milankrallen,Artigli del rapace
5149,152,7,Claws,Handrills,ドリルナックル,,Perforadores,Vrillons,Handbohrer,Talpax
514A,153,7,Claws,Hammer handrills,ハイパードリル,,Guanteletes de martillo,Vrillons à percussion,Hammer-Handbohrer,Talpax a martello
514B,154,7,Claws,Dragon claws,ドラゴンクロー,,Garras de dragón,Griffes de dragon,Drachenklauen,Artigli del drago
514C,155,7,Claws,Fire claws,ほのおのツメ,,Garras de fuego,Griffes de feu,Feuerklauen,Artigli di fuoco
514D,156,7,Claws,Combusticlaws,しゃくねつのツメ,,Garras combustibles,Combustigriffes,Brandklauen,Artigli ardenti
514E,157,7,Claws,Cobra claws,あくまのツメ,,Garras de cobra,Dents de cobra,Kobraklauen,Artigli del cobra
514F,158,7,Claws,King cobra claws,サタンネイル,,Garras de cobra real,Dents de cobra royal,Königskobraklauen,Reptilium
5150,159,7,Claws,Beast claws,まじゅうのツメ,,Garras de bestia,Griffes de monstre,Bestienklauen,Artigli della belva
5151,160,7,Claws,Beastmaster claws,じゅうおうのツメ,,Garras bestiales,Griffes maître-monstre,Bestienmeister-klauen,Artigli mostruosi
5152,161,7,Claws,Orichalcum claws,オリハルコンのツメ,,Garras de oricalco,Griffes d'orichalque,Orichalkumklauen,Artigli d'orichalcum
5153,162,7,Claws,Dragonlord claws,竜王のツメ,,Garras de guiverno,Griffes de lordragon,Drachenfürst-klauen,Artigli del Dragonlord
5154,163,7,Claws,Dragovian claws,竜神のツメ,,Garras dragovianas,Griffes dragoviennes,Dragovianerklauen,Artigli dragoviani
5155,164,7,Claws,Dragovian lord claws,竜神王のツメ,,Garras de dragoviano,Griffes de sgr dragovien,Dragovianerfürst-klauen,Lame del Sire Dragoviano
5156,165,7,Claws,Xenlon claws,神竜のツメ,,Garras de Xenlon,Griffes de Xenlon,Xenlonklauen,Artigli di Xenlon
4E84,166,8,Fans,Feather fan,はねのおうぎ,,Abanico de plumas,Éventail de plumes,Federfächer,Ventaglio piumato
4E85,167,8,Fans,Iron fan,てつのおうぎ,,Abanico de hierro,Éventail de fer,Eisenfächer,Ventaglio di ferro
4E86,168,8,Fans,Steel fan,はがねのおうぎ,,Abanico de acero,Éventail d'acier,Stahlfächer,Ventaglio d'acciaio
4E87,169,8,Fans,Gigasteel fan,たまはがねのおうぎ,,Abanico de gigacero,Éventail de trempacier,Gigastahlfächer,Ventaglio Inox
4E88,170,8,Fans,War fan,バトルファン,,Abanico de guerra,Éventail de guerre,Kriegsfächer,Ventaglio da battaglia
4E89,171,8,Fans,Foehn fan,れっぷうのおうぎ,,Abanico ventolera,Éventail du vent,Föhnfächer,Ventaglio ardente
4E8A,172,8,Fans,Gale force fan,たつまきのおうぎ,,Abanico huracanado,Éventail de bourrasque,Orkanfächer,Ventaglio dell'uragano
4E91,173,8,Fans,Cobra fan,へびのおうぎ,,Abanico de cobra,Éventail cobra,Kobrafächer,Ventaglio del cobra
4E92,174,8,Fans,Azure Dragon fan,せいりゅうのおうぎ,,Abanico Dragón Azur,Éventail Dragon azur,Blaudrachen-Fächer,Ventaglio Drago Azzurro
4E8F,175,8,Fans,Fowl fan,トリのおうぎ,,Avenico,Éventail aviaire,Flügelfächer,Ventaglio letale
4E90,176,8,Fans,Vermillion Bird fan,すざくのおうぎ,,Abanico Ave Bermellón,Éventail Oiseau vermillon,Rotvogel-Fächer,Ventaglio Ala Rossa
4E8D,177,8,Fans,Feline fan,ネコのおうぎ,,Abanico felino,Éventail félin,Katzenfächer,Ventaglio del micione
4E8E,178,8,Fans,White Tiger fan,びゃっこのおうぎ,,Abanico Tigre Blanco,Éventail Tigre blanc,Weißtiger-Fächer,Ventaglio Tigre Bianca
4E8B,179,8,Fans,Tortoiseshell fan,カメのおうぎ,,Abanico de tortuga,Éventail tortue,Schildkröten-fächer,Venguscio
4E8C,180,8,Fans,Black Tortoise fan,げんぶのおうぎ,,Abanico Tortuga Negra,Éventail Tortue noire,Schwarzschild-Fächer,Ventaglio Tortuga Nera
4E93,181,8,Fans,Stellar fan,ほしのおうぎ,,Abanico estelar,Éventail stellaire,Sternenfächer,Ventistella
4E94,182,8,Fans,Lunar fan,つきのおうぎ,,Abanico lunar,Éventail lunaire,Mondfächer,Ventaglio lunare
4E95,183,8,Fans,Solar fan,たいようのおうぎ,,Abanico solar,Éventail solaire,Sonnenfächer,Ventaglio del sole
4E9C,184,8,Fans,White bouquet,白のブーケ,,Ramo blanco,Bouquet blanc,Weißes Bouquet,Bouquet bianco
4E96,185,8,Fans,Friendly fan,きりんのおうぎ,,Abanico amigable,Éventail évolué,Freundlicher Fächer,Ventaglio dell'alleanza
4E97,186,8,Fans,Attribeauty,風林火山,,Paipay atributario,Caractéventail,Anfächer,Fantaventaglio
4E98,187,8,Fans,Critical fan,ひっさつのおうぎ,必殺の扇,Abanico crítico,Éventail critique,Fieser Fächer,Aria Critica
4E99,188,8,Fans,Overcritical fan,むそうおうぎ,,Abanico supercrítico,Éventail surcritique,Furchtbarer Fächer,Ventaglio della morte
4E9A,189,8,Fans,Hypercritical fan,ちょうぜつおうぎ,,Abanico hipercrítico,Éventail hypercritique,Folgenschwerer Fächer,Ventaglio Thanatos
4E9B,190,8,Fans,Dire critical fan,さいしゅうおうぎ,,Abanico critiquérrimo,Éventail ultracritique,Fataler Fächer,Ultimo vento
4F45,191,9,Axes,Iron axe,てつのオノ,,Hacha de hierro,Hache de fer,Eisenaxt,Ascia di ferro
4EEA,192,9,Axes,Steel axe,はがねのオノ,,Hacha de acero,Hache d'acier,Stahlaxt,Ascia d'acciaio
4EEB,193,9,Axes,Gigasteel axe,たまはがねのオノ,,Hacha de gigacero,Hache de trempacier,Gigastahlaxt,Ascia Inox
4EEC,194,9,Axes,Golden axe,きんのオノ,,Hacha de oro,Hache d'or,Goldaxt,Ascia d'oro
4EE8,195,9,Axes,Battle-axe,バトルアックス,,Hacha de guerra,Hache de guerre,Kampfaxt,Ascia da battaglia
4EED,196,9,Axes,Moon axe,ムーンアックス,,Hacha lunar,Hache de lune,Mondaxt,Ascia della luna
4EEE,197,9,Axes,Full moon axe,フルムーンアックス,,Hacha plenilunio,Hache de pleine lune,Vollmondaxt,Luna piena
4F43,198,9,Axes,King axe,キングアックス,,Hacha real,Hache de roi,Königsaxt,Ascia del re
4EEF,199,9,Axes,Kaiser axe,カイザーアックス,,Hacha de káiser,Hache d'empereur,Kaiseraxt,Ascia dell'imperatore
4EE9,200,9,Axes,Pro's axe,たつじんのオノ,,Hacha profesional,Hache de pro,Profi-Axt,Ascia del ribelle
4EF0,201,9,Axes,Headsman's axe,はしゃのオノ,,Decapitadora,Hache de bourreau,Scharfrichterbeil,Ascia di Hela
4EF1,202,9,Axes,Executioner's axe,はおうのオノ,,Hacha sicaria,Hache d'exécuteur,Henkersbeil,Lama del boia
4EF2,203,9,Axes,Ice axe,ふぶきのオノ,,Hacha de hielo,Hache de glace,Eisaxt,Gelama
4EF3,204,9,Axes,Avalanche axe,ブリザードアックス,,Hacha avalancha,Hache avalanche,Lawinenaxt,Ascia Avalanche
4EF4,205,9,Axes,Heavy hatchet,ふんさいのおおなた,粉砕のおおなた,Hachuela pesada,Hache lourde,Schweres Beil,Ascia Rebellion
4EF5,206,9,Axes,Bad axe,グレートアックス,,Hacha mala,Hache oar,Verhaxt,Bandita
4EF6,207,9,Axes,Maxi axe,ギガントアックス,,Maxihacha,Méghache,Maxi-Axt,Maxiascia
4EF7,208,9,Axes,Climaxe,グラビティアックス,,Climhacha,Hache hop,Klimaxt,Ascia Climax
4EF8,209,9,Axes,Galaxy axe,ゴッドアックス,,Hacha galáctica,Hache galactique,Galaktische Axt,Ascia galattica
4ACE,210,10,Hammers,Oaken club,こんぼう,,Garrote de roble,Massue de chêne,Eichenholzknüppel,Clava
4ACF,211,10,Hammers,Ace of clubs,ジャイアントクラブ,,Garrote vil,Massup,Riesenknüppel,Randello robusto
4AD0,212,10,Hammers,Sledgehammer,おおかなづち,,Almádena,Masse de guerre,Eisenhammer,Martello
4AD1,213,10,Hammers,War hammer,ウォーハンマー,,Martillo de guerra,Marteau d'armes,Kriegshammer,Martello da guerra
4AD2,214,10,Hammers,Über war hammer,ウォーハンマー改,,Übermartillo de guerra,Marteau suprême,Über-Kriegshammer,Gran martello da guerra
